,Price,PolarityScore
2021-02-28,46324.135357142855,0.06236281512043925
2021-03-31,54860.21387096774,0.07902593273272622
2021-04-30,57094.58633333333,0.08121232002040649
2021-05-31,46455.27612903226,0.08575857665087305
2021-06-30,35843.16966666667,0.11279854831801424
2021-07-31,34443.765483870964,0.1275555175930183
2021-08-31,45695.67580645161,0.14446829014440882
2021-09-30,45943.25166666667,0.1341935672478196
2021-10-31,57917.13451612903,0.12599789017843072
2021-11-30,60704.634666666665,0.13200588299355903
2021-12-31,49422.308333333334,0.11989005147826579
